[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_e400_nowarm_13018810.pbs101_20260301_131129.log
[job] name=train_rgbt_adaptive_fpn_e400_nowarm id=13018810.pbs101 host=x1000c0s4b0n1 time=Sun Mar  1 13:11:29 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts_v2/train_rgbt_adaptive_fpn.py:289: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 678480.562500
[e001 s0050/1030] loss = 75799.780671
[e001 s0100/1030] loss = 37917.392307
[e001 s0150/1030] loss = 25278.976195
[e001 s0200/1030] loss = 18959.947353
[e001 s0250/1030] loss = 15169.200670
[e001 s0300/1030] loss = 12641.458574
[e001 s0350/1030] loss = 10836.350367
[e001 s0400/1030] loss = 9482.345887
[e001 s0450/1030] loss = 8429.984663
[e001 s0500/1030] loss = 7587.287510
[e001 s0550/1030] loss = 6897.773000
[e001 s0600/1030] loss = 6323.278756
[e001 s0650/1030] loss = 5837.150087
[e001 s0700/1030] loss = 5420.550744
[e001 s0750/1030] loss = 5059.499644
[e001 s0800/1030] loss = 4743.549117
[e001 s0850/1030] loss = 4464.889144
[e001 s0900/1030] loss = 4217.080499
[e001 s0950/1030] loss = 3995.561745
[e001 s1000/1030] loss = 3795.992432
Epoch 001: train_loss = 3685.568979  MAE/GAME0 = 60757.874  RMSE = 156521.565  GAME1 = 60776.063  GAME2 = 60814.789  GAME3 = 60847.102  lr = 5.07e-06  time = 53.1s
[e002 s0001/1030] loss = 1.352047
[e002 s0050/1030] loss = 2.918256
[e002 s0100/1030] loss = 3.545696
[e002 s0150/1030] loss = 3.726753
[e002 s0200/1030] loss = 3.551983
[e002 s0250/1030] loss = 3.437447
[e002 s0300/1030] loss = 3.739152
[e002 s0350/1030] loss = 4.893963
[e002 s0400/1030] loss = 4.962709
[e002 s0450/1030] loss = 5.446415
[e002 s0500/1030] loss = 5.233809
[e002 s0550/1030] loss = 5.140287
[e002 s0600/1030] loss = 5.074208
[e002 s0650/1030] loss = 4.947972
[e002 s0700/1030] loss = 4.928376
[e002 s0750/1030] loss = 4.797433
[e002 s0800/1030] loss = 4.747333
[e002 s0850/1030] loss = 4.707048
[e002 s0900/1030] loss = 4.620787
[e002 s0950/1030] loss = 4.583132
[e002 s1000/1030] loss = 4.676412
Epoch 002: train_loss = 4.629291  MAE/GAME0 = 27406.198  RMSE = 100911.980  GAME1 = 27430.491  GAME2 = 27469.865  GAME3 = 27502.782  lr = 5.28e-06  time = 38.3s
[e003 s0001/1030] loss = 1.585050
[e003 s0050/1030] loss = 2.949060
[e003 s0100/1030] loss = 3.263509
[e003 s0150/1030] loss = 5.508385
[e003 s0200/1030] loss = 7.677855
[e003 s0250/1030] loss = 6.693478
[e003 s0300/1030] loss = 6.589845
[e003 s0350/1030] loss = 5.906963
[e003 s0400/1030] loss = 5.900769
[e003 s0450/1030] loss = 5.652208
