[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e100_sanity_12790196.pbs101_20260126_134509.log
[job] name=train_rgbt_adaptive_late_e100_sanity id=12790196.pbs101 host=x1000c1s6b0n0 time=Mon Jan 26 13:45:09 +08 2026
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:392: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 1.616524
[e001 s0050/1030] loss = 4.833866
[e001 s0100/1030] loss = 4.697660
[e001 s0150/1030] loss = 4.338289
[e001 s0200/1030] loss = 3.905626
[e001 s0250/1030] loss = 3.526150
[e001 s0300/1030] loss = 3.186269
[e001 s0350/1030] loss = 2.971082
[e001 s0400/1030] loss = 2.770853
[e001 s0450/1030] loss = 2.607094
[e001 s0500/1030] loss = 2.450986
[e001 s0550/1030] loss = 2.324174
[e001 s0600/1030] loss = 2.219351
[e001 s0650/1030] loss = 2.121394
[e001 s0700/1030] loss = 2.054999
[e001 s0750/1030] loss = 1.984792
[e001 s0800/1030] loss = 1.917410
[e001 s0850/1030] loss = 1.854936
[e001 s0900/1030] loss = 1.807427
[e001 s0950/1030] loss = 1.756575
[e001 s1000/1030] loss = 1.723588
Epoch 001: train_loss = 1.697089  MAE/GAME0 = 143.830  RMSE = 171.383  GAME1 = 166.407  GAME2 = 230.192  GAME3 = 252.556  lr = 1.00e-05  time = 21.5s
[e002 s0001/1030] loss = 1.388213
[e002 s0050/1030] loss = 1.059741
[e002 s0100/1030] loss = 1.117736
[e002 s0150/1030] loss = 1.058659
[e002 s0200/1030] loss = 0.998844
[e002 s0250/1030] loss = 0.968766
[e002 s0300/1030] loss = 0.940584
[e002 s0350/1030] loss = 0.932778
[e002 s0400/1030] loss = 0.936065
[e002 s0450/1030] loss = 0.920131
[e002 s0500/1030] loss = 0.926799
[e002 s0550/1030] loss = 0.929354
[e002 s0600/1030] loss = 0.915738
[e002 s0650/1030] loss = 0.904510
[e002 s0700/1030] loss = 0.903896
[e002 s0750/1030] loss = 0.902391
[e002 s0800/1030] loss = 0.896238
[e002 s0850/1030] loss = 0.891312
[e002 s0900/1030] loss = 0.904329
[e002 s0950/1030] loss = 0.900985
[e002 s1000/1030] loss = 0.897015
Epoch 002: train_loss = 0.899128  MAE/GAME0 = 119.568  RMSE = 144.795  GAME1 = 146.116  GAME2 = 210.027  GAME3 = 229.499  lr = 1.00e-05  time = 11.7s
[e003 s0001/1030] loss = 2.265028
[e003 s0050/1030] loss = 0.899163
[e003 s0100/1030] loss = 0.915262
[e003 s0150/1030] loss = 0.862184
[e003 s0200/1030] loss = 0.860241
[e003 s0250/1030] loss = 0.848582
[e003 s0300/1030] loss = 0.836683
[e003 s0350/1030] loss = 0.851898
[e003 s0400/1030] loss = 0.849021
[e003 s0450/1030] loss = 0.856668
[e003 s0500/1030] loss = 0.860223
[e003 s0550/1030] loss = 0.859517
[e003 s0600/1030] loss = 0.873597
[e003 s0650/1030] loss = 0.863367
[e003 s0700/1030] loss = 0.856925
[e003 s0750/1030] loss = 0.855714
[e003 s0800/1030] loss = 0.850309
[e003 s0850/1030] loss = 0.845985
[e003 s0900/1030] loss = 0.845698
[e003 s0950/1030] loss = 0.845651
[e003 s1000/1030] loss = 0.848555
Epoch 003: train_loss = 0.843575  MAE/GAME0 = 104.472  RMSE = 129.167  GAME1 = 133.997  GAME2 = 196.119  GAME3 = 214.089  lr = 1.00e-05  time = 11.7s
[e004 s0001/1030] loss = 0.566490
[e004 s0050/1030] loss = 0.772447
[e004 s0100/1030] loss = 0.736891
[e004 s0150/1030] loss = 0.742785
[e004 s0200/1030] loss = 0.772856
[e004 s0250/1030] loss = 0.759017
[e004 s0300/1030] loss = 0.740785
[e004 s0350/1030] loss = 0.737762
[e004 s0400/1030] loss = 0.753160
[e004 s0450/1030] loss = 0.758564
[e004 s0500/1030] loss = 0.764918
[e004 s0550/1030] loss = 0.763177
[e004 s0600/1030] loss = 0.757720
[e004 s0650/1030] loss = 0.757805
[e004 s0700/1030] loss = 0.757719
[e004 s0750/1030] loss = 0.763012
[e004 s0800/1030] loss = 0.763699
[e004 s0850/1030] loss = 0.761729
[e004 s0900/1030] loss = 0.761254
[e004 s0950/1030] loss = 0.762589
[e004 s1000/1030] loss = 0.759407
Epoch 004: train_loss = 0.759149  MAE/GAME0 = 92.104  RMSE = 116.445  GAME1 = 123.297  GAME2 = 183.564  GAME3 = 200.455  lr = 1.00e-05  time = 11.7s
[e005 s0001/1030] loss = 1.286320
[e005 s0050/1030] loss = 0.750361
[e005 s0100/1030] loss = 0.757886
[e005 s0150/1030] loss = 0.754161
[e005 s0200/1030] loss = 0.727532
[e005 s0250/1030] loss = 0.720806
[e005 s0300/1030] loss = 0.747811
[e005 s0350/1030] loss = 0.744071
[e005 s0400/1030] loss = 0.738382
[e005 s0450/1030] loss = 0.729839
[e005 s0500/1030] loss = 0.725072
[e005 s0550/1030] loss = 0.722798
[e005 s0600/1030] loss = 0.711807
[e005 s0650/1030] loss = 0.715135
[e005 s0700/1030] loss = 0.718639
[e005 s0750/1030] loss = 0.712013
[e005 s0800/1030] loss = 0.707305
[e005 s0850/1030] loss = 0.713455
[e005 s0900/1030] loss = 0.710584
[e005 s0950/1030] loss = 0.710160
[e005 s1000/1030] loss = 0.709551
Epoch 005: train_loss = 0.704529  MAE/GAME0 = 81.077  RMSE = 104.997  GAME1 = 113.224  GAME2 = 171.852  GAME3 = 187.655  lr = 1.00e-05  time = 11.6s
[e006 s0001/1030] loss = 0.755488
[e006 s0050/1030] loss = 0.021680
[e006 s0100/1030] loss = 0.012836
[e006 s0150/1030] loss = 0.010022
[e006 s0200/1030] loss = 0.007986
[e006 s0250/1030] loss = 0.009544
[e006 s0300/1030] loss = 0.008387
[e006 s0350/1030] loss = 0.007797
[e006 s0400/1030] loss = 0.007271
[e006 s0450/1030] loss = 0.006799
[e006 s0500/1030] loss = 0.006628
[e006 s0550/1030] loss = 0.006244
[e006 s0600/1030] loss = 0.006019
[e006 s0650/1030] loss = 0.005916
[e006 s0700/1030] loss = 0.005725
[e006 s0750/1030] loss = 0.005520
[e006 s0800/1030] loss = 0.005643
[e006 s0850/1030] loss = 0.005445
[e006 s0900/1030] loss = 0.005364
[e006 s0950/1030] loss = 0.005393
[e006 s1000/1030] loss = 0.005286
Epoch 006: train_loss = 0.005197  MAE/GAME0 = 65.445  RMSE = 89.861  GAME1 = 65.455  GAME2 = 65.455  GAME3 = 65.455  lr = 1.00e-05  time = 20.6s
[e007 s0001/1030] loss = 0.000405
[e007 s0050/1030] loss = 0.004017
[e007 s0100/1030] loss = 0.003230
